X0,ID*,ID-2d,ID-7d,DA_avg,DA_min,DA_max,DA_last,Intraday
1,,,,,,,,36.1198652318214
1,,,,,,,,32.6648142523364
1,,,,,,,,28.8359591628382
1,,,,,,,,30.663983909416
1,,,,,,,,31.3367434238171
1,,,,,,,,31.7500584
1,,,,,,,,47.5926353112942
1,,,,,,,,54.5333883381164
1,,,,,,,,53.2097920255451
1,,,,,,,,35.5688568969845
1,,,,,,,,28.3061260867984
1,,,,,,,,27.7404870775348
1,,,,,,,,26.6206372243882
1,,,,,,,,22.2751908480614
1,,,,,,,,19.4000385305506
1,,,,,,,,22.9404763894693
1,,,,,,,,28.5948133165829
1,,,,,,,,37.3547653299766
1,,,,,,,,46.7425414213871
1,,,,,,,,64.3341804180418
1,,,,,,,,56.9202930064418
1,,,,,,,,45.9588183621423
1,,,,,,,,41.8838458008261
1,,,,,,,,35.3726378539493
1,36.1198652318214,,,39.017916666666665,28.62,61.0,30.43,32.1907823470411
1,32.6648142523364,,,39.017916666666665,28.62,61.0,30.43,31.9709421882465
1,28.8359591628382,,,39.017916666666665,28.62,61.0,30.43,28.3050337723742
1,30.663983909416,,,39.017916666666665,28.62,61.0,30.43,28.0489344404082
1,31.3367434238171,,,39.017916666666665,28.62,61.0,30.43,30.1253846914557
1,31.7500584,,,39.017916666666665,28.62,61.0,30.43,32.7187017222052
1,47.5926353112942,,,39.017916666666665,28.62,61.0,30.43,45.5795265206111
1,54.5333883381164,,,39.017916666666665,28.62,61.0,30.43,58.2748252044578
1,53.2097920255451,,,39.017916666666665,28.62,61.0,30.43,65.4127522171591
1,35.5688568969845,,,39.017916666666665,28.62,61.0,30.43,43.7815846020428
1,28.3061260867984,,,39.017916666666665,28.62,61.0,30.43,31.9865103833135
1,30.44,,,39.017916666666665,28.62,61.0,30.43,30.4349626257135
1,29.14,,,39.017916666666665,28.62,61.0,30.43,28.2125144468905
1,30.02,,,39.017916666666665,28.62,61.0,30.43,26.1290879420307
1,28.81,,,39.017916666666665,28.62,61.0,30.43,25.6458489466744
1,31.38,,,39.017916666666665,28.62,61.0,30.43,27.8643334361188
1,36.26,,,39.017916666666665,28.62,61.0,30.43,31.1744210142664
