0.583,0.751,0.802,0.581,0.646,0.809,0.911,1.014,0.658,0.305,0.222,0.244,0.312,0.415,0.423,0.362,0.334,0.29,0.266,0.299,0.361,0.398,0.453,0.467
0.557,0.636,0.805,1.063,1.284,1.458,1.625,1.596,1.368,0.982,1.216,2.169,3.045,3.324,3.071,2.948,2.934,2.862,3.495,4.581,4.725,5.218,5.417,5.416
5.125,5.175,5.099,5.381,5.443,5.381,4.957,4.922,4.811,4.646,4.686,5.741,5.857,5.945,6.043,6.267,6.1,5.712,5.559,6.158,6.354,6.097,5.736,5.55
4.983,4.242,3.561,3.152,3.089,2.421,1.868,1.362,0.728,0.47,0.264,0.168,0.101,0.119,0.078,0.098,0.09,0.253,0.914,1.721,1.849,1.668,1.958,1.569
0.933,0.862,1.314,1.663,1.424,1.405,1.94,1.976,1.767,1.448,1.177,1.066,1.085,0.922,1.153,1.102,1.041,0.43,0.29,0.199,0.179,0.214,0.183,0.204
0.233,0.249,0.213,0.309,0.726,0.848,1.035,1.024,0.804,0.657,0.578,0.683,0.821,0.946,1.05,1.364,1.162,1.219,1.561,1.882,2.058,1.961,1.813,1.73
1.795,1.721,1.423,1.042,0.834,0.724,0.743,1.089,1.284,1.076,0.67,0.43,0.191,0.108,0.083,0.109,0.094,0.077,0.097,0.099,0.111,0.116,0.129,0.123
0.14,0.13,0.117,0.184,0.284,0.305,0.269,0.385,0.489,0.508,0.549,0.65,0.878,0.959,0.981,0.965,1.063,1.099,1.01,0.97,0.901,0.827,0.613,0.461
0.47,0.547,0.598,0.669,0.697,0.669,0.658,0.634,0.551,0.445,0.358,0.365,0.28,0.163,0.198,0.141,0.159,0.206,0.365,0.405,0.44,0.581,0.774,1.197
1.347,1.042,0.609,0.613,0.562,0.631,0.692,0.454,0.345,0.302,0.285,0.256,0.247,0.247,0.326,0.463,0.597,0.892,1.227,1.297,1.358,1.605,1.887,2.234
2.179,2.373,2.684,2.934,3.476,3.877,4.758,5.784,6.027,5.792,5.941,6.118,6.199,6.221,6.316,6.324,6.395,6.214,6.144,6.108,5.641,5.407,5.257,5.33
5.284,5.498,5.297,5.353,5.161,4.84,4.557,4.251,3.941,3.695,3.632,3.609,2.976,2.572,2.218,1.666,1.072,0.528,0.552,0.628,0.632,0.642,0.614,0.428
0.287,0.306,0.331,0.401,0.532,0.708,0.681,0.751,0.851,0.856,0.809,0.868,1.005,1.075,1.237,1.364,1.642,1.757,2.175,2.488,2.826,3.118,3.452,4.074
4.153,4.111,3.993,4.291,4.264,3.953,4.061,3.677,1.469,0.58,0.407,0.466,0.398,0.42,0.394,0.453,0.419,0.447,0.374,0.51,0.867,1.56,1.527,1.472
1.73,2.222,3.028,3.369,2.412,2.541,2.843,2.905,2.976,2.781,3.04,2.881,3.228,2.636,2.177,2.339,2.187,3.163,3.728,1.195,0.787,0.69,1.008,1.823
0.856,0.622,0.584,0.462,0.521,0.46,0.363,0.352,0.342,0.29,0.334,0.409,0.489,0.706,0.951,0.821,0.511,0.411,0.506,0.739,1.026,0.883,1.205,1.904
2.334,2.357,2.496,2.597,2.756,2.747,2.812,2.308,2.184,1.537,1.298,1.399,0.702,0.188,0.064,0.051,0.022,0.031,0.04,0.053,0.082,0.123,0.203,0.246
0.23,0.13,0.222,0.417,0.266,0.203,0.29,0.417,0.336,0.191,0.203,0.147,0.066,0.025,0.014,0.014,0.026,0.034,0.041,0.035,0.169,0.407,0.474,0.589
