X0,DA-1d,DA-2d,DA-7d,DA_avg,DA_min,DA_max,DA_last,L,W,S,DayAhead
1,24.77,30.82,,28.85291666666667,20.24,47.01,30.35,35.276,2.41175,0.0,25.7
1,25.49,32.3,,28.85291666666667,20.24,47.01,30.35,35.77925,2.59825,0.0,26.13
1,24.03,44.68,,28.85291666666667,20.24,47.01,30.35,36.66025,3.06475,0.00025,26.14
1,26.14,54.92,,28.85291666666667,20.24,47.01,30.35,38.43175,3.443,0.17825,27.52
1,28.06,60.0,,28.85291666666667,20.24,47.01,30.35,42.03775,3.43375,1.84325,30.02
1,26.4,46.96,,28.85291666666667,20.24,47.01,30.35,45.498,2.83725,4.58675,31.95
1,24.67,37.92,,28.85291666666667,20.24,47.01,30.35,48.155,1.87325,7.175,30.53
1,24.63,32.01,,28.85291666666667,20.24,47.01,30.35,50.6035,1.728,8.884,31.62
1,23.53,30.07,,28.85291666666667,20.24,47.01,30.35,49.4005,2.079,10.38,29.24
1,20.24,28.65,,28.85291666666667,20.24,47.01,30.35,47.83275,2.36475,11.119,27.09
1,21.94,28.91,,28.85291666666667,20.24,47.01,30.35,46.24275,2.33675,10.028,26.06
1,23.52,29.6,,28.85291666666667,20.24,47.01,30.35,45.51125,2.231,8.456,26.01
1,24.05,32.02,,28.85291666666667,20.24,47.01,30.35,45.4745,2.35975,5.88425,25.44
1,31.88,44.68,,28.85291666666667,20.24,47.01,30.35,46.72825,2.1785,3.036,31.8
1,40.3,48.1,,28.85291666666667,20.24,47.01,30.35,48.7375,1.8495,0.53175,40.48
1,47.01,55.0,,28.85291666666667,20.24,47.01,30.35,51.51675,1.98475,0.00425,46.99
1,41.95,49.03,,28.85291666666667,20.24,47.01,30.35,50.011,2.084,0.0,44.9
1,37.79,39.8,,28.85291666666667,20.24,47.01,30.35,47.66475,2.22425,0.0,40.95
1,40.28,33.5,,28.85291666666667,20.24,47.01,30.35,46.3485,2.2405,0.0,40.41
1,30.35,30.13,,28.85291666666667,20.24,47.01,30.35,43.0435,1.8785,0.0,33.96
1,27.63,26.75,,31.183333333333337,24.0,46.99,33.96,40.225,1.717,0.0,27.66
1,27.01,26.26,,31.183333333333337,24.0,46.99,33.96,38.77175,1.685,0.0,26.68
1,26.82,26.39,,31.183333333333337,24.0,46.99,33.96,38.39,1.6525,0.0,26.82
1,24.0,26.04,,31.183333333333337,24.0,46.99,33.96,39.20025,1.638,0.0,26.02
1,25.7,24.77,,31.183333333333337,24.0,46.99,33.96,40.6835,1.97875,0.0,25.84
1,26.13,25.49,,31.183333333333337,24.0,46.99,33.96,45.42925,2.46825,0.0,28.25
1,26.14,24.03,,31.183333333333337,24.0,46.99,33.96,55.752,2.829,0.00075,42.17
1,27.52,26.14,,31.183333333333337,24.0,46.99,33.96,61.9105,2.9945,0.16425,52.0
1,30.02,28.06,,31.183333333333337,24.0,46.99,33.96,63.5435,3.1585,2.14125,55.07
1,31.95,26.4,,31.183333333333337,24.0,46.99,33.96,63.9505,2.876,6.7995,53.01
1,30.53,24.67,,31.183333333333337,24.0,46.99,33.96,65.16475,2.3805,10.80575,51.56
1,31.62,24.63,,31.183333333333337,24.0,46.99,33.96,66.01425,2.3225,13.4445,49.08
1,29.24,23.53,,31.183333333333337,24.0,46.99,33.96,64.97475,2.422,15.149,42.17
1,27.09,20.24,,31.183333333333337,24.0,46.99,33.96,64.369,2.9055,15.76375,40.4
1,26.06,21.94,,31.183333333333337,24.0,46.99,33.96,63.47125,3.34275,14.483,38.84
1,26.01,23.52,,31.183333333333337,24.0,46.99,33.96,62.80025,3.98425,11.8205,40.97
1,25.44,24.05,,31.183333333333337,24.0,46.99,33.96,61.19075,4.55475,7.5925,41.38
1,31.8,31.88,,31.183333333333337,24.0,46.99,33.96,60.99975,5.56975,3.085,44.61
1,40.48,40.3,,31.183333333333337,24.0,46.99,33.96,61.858,7.273,0.299,45.1
1,46.99,47.01,,31.183333333333337,24.0,46.99,33.96,65.16925,9.76225,0.004,51.75
1,44.9,41.95,,31.183333333333337,24.0,46.99,33.96,61.61325,11.2275,0.0,45.45
1,40.95,37.79,,31.183333333333337,24.0,46.99,33.96,57.65575,12.1845,0.0,33.26
1,40.41,40.28,,31.183333333333337,24.0,46.99,33.96,53.3185,12.9065,0.0,28.06
1,33.96,30.35,,31.183333333333337,24.0,46.99,33.96,48.6895,13.2065,0.0,27.01
1,27.66,27.63,,39.29833333333334,25.84,55.07,27.01,45.8105,13.38475,0.0,25.05
1,26.68,27.01,,39.29833333333334,25.84,55.07,27.01,43.726,13.68275,0.0,26.16
1,26.82,26.82,,39.29833333333334,25.84,55.07,27.01,43.158,13.88825,0.0,23.87
1,26.02,24.0,,39.29833333333334,25.84,55.07,27.01,43.2375,13.84225,0.0,23.06
1,25.84,25.7,,39.29833333333334,25.84,55.07,27.01,44.57875,13.8865,0.0,23.66
1,28.25,26.13,,39.29833333333334,25.84,55.07,27.01,48.95425,14.03075,0.0,26.4
1,42.17,26.14,,39.29833333333334,25.84,55.07,27.01,58.21825,14.063,0.00025,35.29
1,52.0,27.52,,39.29833333333334,25.84,55.07,27.01,64.392,13.7795,0.09275,45.81
1,55.07,30.02,,39.29833333333334,25.84,55.07,27.01,66.60325,12.9975,1.3405,48.08
1,53.01,31.95,,39.29833333333334,25.84,55.07,27.01,67.34225,12.8355,4.029,46.87
1,51.56,30.53,,39.29833333333334,25.84,55.07,27.01,68.60625,12.65225,6.71525,47.21
1,49.08,31.62,,39.29833333333334,25.84,55.07,27.01,69.53975,12.38675,8.5535,46.95
1,42.17,29.24,,39.29833333333334,25.84,55.07,27.01,69.05725,11.96725,9.29125,45.69
1,40.4,27.09,,39.29833333333334,25.84,55.07,27.01,68.3465,11.3595,8.86475,46.12
1,38.84,26.06,,39.29833333333334,25.84,55.07,27.01,66.60175,10.80475,7.21925,43.92
1,40.97,26.01,,39.29833333333334,25.84,55.07,27.01,65.30275,10.03,5.37725,41.27
1,41.38,25.44,,39.29833333333334,25.84,55.07,27.01,63.98725,9.65625,3.2575,40.0
1,44.61,31.8,,39.29833333333334,25.84,55.07,27.01,64.016,10.052,1.26125,40.55
1,45.1,40.48,,39.29833333333334,25.84,55.07,27.01,65.26475,10.45525,0.149,41.91
1,51.75,46.99,,39.29833333333334,25.84,55.07,27.01,67.4165,11.247,0.00475,45.87
1,45.45,44.9,,39.29833333333334,25.84,55.07,27.01,64.224,11.6065,0.0,39.91
1,33.26,40.95,,39.29833333333334,25.84,55.07,27.01,58.90675,11.46875,0.0,32.18
1,28.06,40.41,,39.29833333333334,25.84,55.07,27.01,53.894,11.4405,0.0,30.05
1,27.01,33.96,,39.29833333333334,25.84,55.07,27.01,49.139,11.66575,0.0,27.56
