X0,DA_Forecast,ID*,L,W,S,Intraday
1,27.09,20.24,47.83275,2.36475,11.119,31.226919217104
1,26.06,21.94,46.24275,2.33675,10.028,29.1700672094232
1,26.01,23.52,45.51125,2.231,8.456,29.912168898411
1,25.44,24.05,45.4745,2.35975,5.88425,30.236879092277
1,31.8,31.88,46.72825,2.1785,3.036,33.2444976555503
1,40.48,40.3,48.7375,1.8495,0.53175,35.964680305813
1,46.99,47.01,51.51675,1.98475,0.00425,42.0081132249298
1,44.9,41.95,50.011,2.084,0.0,39.9550251277326
1,40.95,37.79,47.66475,2.22425,0.0,37.9696392124523
1,40.41,40.28,46.3485,2.2405,0.0,37.4258722250714
1,33.96,30.35,43.0435,1.8785,0.0,31.9991074723247
1,27.66,33.4877606287283,40.225,1.717,0.0,26.825019729762
1,26.68,31.3450245762712,38.77175,1.685,0.0,28.3481720525568
1,26.82,27.9866728469454,38.39,1.6525,0.0,27.6086315122054
1,26.02,24.0609612388894,39.20025,1.638,0.0,24.669143663739
1,25.84,24.3087649653434,40.6835,1.97875,0.0,26.0223731059038
1,28.25,24.7249832502655,45.42925,2.46825,0.0,24.2326410720753
1,42.17,26.1954440357331,55.752,2.829,0.00075,34.2622765984492
1,52.0,26.5410472303207,61.9105,2.9945,0.16425,45.2342722796433
1,55.07,26.6493102144949,63.5435,3.1585,2.14125,49.1590607586798
1,53.01,27.9514695985601,63.9505,2.876,6.7995,48.1567594661167
1,51.56,31.0421542515646,65.16475,2.3805,10.80575,36.9615819971122
1,49.08,31.62,66.01425,2.3225,13.4445,35.0166143674948
1,42.17,29.24,64.97475,2.422,15.149,33.8907392780782
1,40.4,27.09,64.369,2.9055,15.76375,32.4995286504349
1,38.84,26.06,63.47125,3.34275,14.483,31.404909122554
1,40.97,26.01,62.80025,3.98425,11.8205,30.2396546541845
1,41.38,25.44,61.19075,4.55475,7.5925,31.8639663289631
1,44.61,31.8,60.99975,5.56975,3.085,39.5988088929847
1,45.1,40.48,61.858,7.273,0.299,45.3916604303087
1,51.75,46.99,65.16925,9.76225,0.004,53.6114374904827
1,45.45,44.9,61.61325,11.2275,0.0,42.5849344158008
1,33.26,40.95,57.65575,12.1845,0.0,31.8905403729116
1,28.06,40.41,53.3185,12.9065,0.0,28.7148731229597
1,27.01,33.96,48.6895,13.2065,0.0,26.7913007374158
1,25.05,26.825019729762,45.8105,13.38475,0.0,23.9477535934292
1,26.16,28.3481720525568,43.726,13.68275,0.0,21.5328575037898
1,23.87,27.6086315122054,43.158,13.88825,0.0,16.9929657367534
1,23.06,24.669143663739,43.2375,13.84225,0.0,12.6731870572063
1,23.66,26.0223731059038,44.57875,13.8865,0.0,7.93450954259516
1,26.4,24.2326410720753,48.95425,14.03075,0.0,15.4215705993271
1,35.29,34.2622765984492,58.21825,14.063,0.00025,29.9359427539664
1,45.81,45.2342722796433,64.392,13.7795,0.09275,41.7082197712179
1,48.08,49.1590607586798,66.60325,12.9975,1.3405,44.9364790702011
1,46.87,48.1567594661167,67.34225,12.8355,4.029,44.5194831545109
1,47.21,36.9615819971122,68.60625,12.65225,6.71525,43.0075897342676
1,46.95,49.08,69.53975,12.38675,8.5535,40.0466028701106
1,45.69,42.17,69.05725,11.96725,9.29125,38.4871983382111
1,46.12,40.4,68.3465,11.3595,8.86475,40.7854125814193
1,43.92,38.84,66.60175,10.80475,7.21925,42.6020877293578
1,41.27,40.97,65.30275,10.03,5.37725,47.9455987291005
1,40.0,41.38,63.98725,9.65625,3.2575,50.8383474010946
1,40.55,44.61,64.016,10.052,1.26125,52.1089736103035
1,41.91,45.1,65.26475,10.45525,0.149,54.0738534202434
1,45.87,51.75,67.4165,11.247,0.00475,58.4595081858641
1,39.91,45.45,64.224,11.6065,0.0,51.8066614773104
1,32.18,33.26,58.90675,11.46875,0.0,41.0019669975973
1,30.05,28.06,53.894,11.4405,0.0,40.3519823537305
1,27.56,27.01,49.139,11.66575,0.0,38.4072163511411
1,28.07,23.9477535934292,45.83825,11.77425,0.0,30.0604893833947
1,25.19,21.5328575037898,44.32725,11.22875,0.0,28.2350056783437
1,24.08,16.9929657367534,43.373,10.8115,0.0,27.9555330732976
1,23.45,12.6731870572063,43.594,10.23675,0.0,26.0961186484618
1,23.66,7.93450954259516,45.04275,9.8025,0.0,26.7754528122021
1,26.26,15.4215705993271,49.652,9.582,0.0,29.8117153373045
1,34.3,29.9359427539664,58.3405,9.7045,0.0,39.9841504354711
1,47.68,41.7082197712179,64.30025,9.631,0.0465,47.3812359583952
1,50.03,44.9364790702011,66.5815,9.542,0.64025,50.977180241373
1,49.84,44.5194831545109,66.78825,9.33925,2.1135,50.3038522253234
1,49.02,43.0075897342676,67.7545,8.9725,3.84925,49.8685873917749
1,48.97,46.95,68.994,8.6575,5.26175,47.6871041057218
1,47.51,45.69,68.41725,8.4245,5.9245,46.892143405763
1,47.07,46.12,67.473,7.823,5.795,45.8965709363849
1,45.94,43.92,66.1385,7.46025,5.1905,46.7005318751667
1,45.95,41.27,64.6765,7.2805,4.275,44.1764272336117
1,44.2,40.0,62.95325,7.028,2.83025,44.8176327980235
1,45.74,40.55,62.94175,7.097,1.324,43.0435119761314
1,49.58,41.91,64.12225,7.38325,0.20675,49.7768989454012
1,56.56,45.87,66.224,7.582,0.0,56.7533105578237
1,49.56,39.91,62.63725,7.7775,0.0,47.4839395414372
1,41.52,32.18,58.48825,7.4725,0.0,36.0116963714161
1,36.36,30.05,53.90875,7.166,0.0,33.6961201262941
1,30.99,27.56,49.12275,6.54225,0.0,29.0255784309939
1,32.2,30.0604893833947,45.5355,5.75925,0.0,27.0412126994571
1,28.72,28.2350056783437,43.79325,5.059,0.0,24.0916443602875
1,28.08,27.9555330732976,42.86825,4.41775,0.0,20.3704948453608
1,27.95,26.0961186484618,43.16425,3.79675,0.0,17.6813637276562
1,28.42,26.7754528122021,44.8605,3.54225,0.0,21.6228572428761
1,34.76,29.8117153373045,48.65225,3.34125,0.0,28.769110016304
1,46.49,39.9841504354711,57.2115,3.28475,0.00025,35.0846433960366
1,55.7,47.3812359583952,63.6225,3.2005,0.04775,45.8425926544639
1,59.84,50.977180241373,65.508,2.866,0.823,49.1063385159531
1,61.14,50.3038522253234,65.94475,2.41475,2.50925,49.9632270786833
1,59.13,49.8685873917749,66.99925,2.0675,4.63675,49.7358439208294
1,56.0,48.97,68.13275,1.8675,6.44075,50.9666247059778
1,52.46,47.51,67.7745,1.70825,7.4925,47.0270382665596
1,51.05,47.07,66.8615,1.65725,7.13625,45.1706814165754
1,50.78,45.94,65.384,1.53475,6.257,46.4768750803829
1,50.22,45.95,64.41975,1.516,4.86525,45.8157466700079
1,50.0,44.2,62.9615,1.44475,3.132,45.4771856983673
1,51.69,45.74,62.944,1.364,1.2565,48.0896924444767
1,55.99,49.58,64.19375,1.34975,0.11225,50.714962461749
1,72.7,56.56,65.92025,1.40075,0.0,61.8194074853186
1,58.04,49.56,62.30025,1.53925,0.0,52.4687718512881
1,43.98,41.52,57.981,1.5415,0.0,42.6413266531799
1,40.99,36.36,53.909,1.47975,0.0,40.1038849056604
1,35.06,30.99,49.012,1.355,0.0,33.5909424441524
1,33.12,27.0412126994571,45.4665,1.12225,0.0,30.7802976341898
1,32.02,24.0916443602875,43.824,1.04875,0.0,28.4912702605355
1,30.26,20.3704948453608,42.85125,1.02525,0.0,28.8984726398076
1,28.22,17.6813637276562,43.285,1.06775,0.0,29.8007343140953
1,30.47,21.6228572428761,44.6335,1.0905,0.0,31.8104147178048
1,32.09,28.769110016304,48.39525,1.13625,0.0,31.3617372302649
1,46.62,35.0846433960366,56.89025,1.13775,0.0,44.8862997695729
1,55.48,45.8425926544639,63.3665,1.22875,0.06075,53.5194356
1,61.04,49.1063385159531,65.53,1.3235,0.943,60.0742373488224
1,61.0,49.9632270786833,65.58475,1.204,3.02275,57.5554498390469
1,55.09,49.7358439208294,66.707,1.04075,5.67625,53.7448680049196
1,52.93,56.0,67.438,1.03075,8.115,51.7773455449771
1,50.85,52.46,66.34875,1.14275,9.747,48.840120777367
1,47.8,51.05,64.8645,1.17875,10.0615,45.2683843270572
1,46.8,50.78,62.98575,1.18325,9.089,42.311918941434
1,45.17,50.22,61.53675,1.20525,7.11675,42.0587927743377
1,44.48,50.0,60.329,1.45125,4.58825,43.2773564285413
1,46.66,51.69,60.41175,1.84075,1.8525,46.3892097786903
1,49.56,55.99,61.8035,2.47625,0.1635,51.3343681312132
1,55.44,72.7,63.8175,3.28025,0.0,52.4755727902946
1,49.99,58.04,59.94775,3.9615,0.0,49.5521589457615
1,40.07,43.98,55.606,4.218,0.0,42.8060559570996
1,36.47,40.99,52.33025,4.358,0.0,40.7954235250601
1,32.43,35.06,48.16325,4.34275,0.0,33.8445422270038
1,32.46,30.7802976341898,44.59025,4.34875,0.0,32.6067812744988
1,28.53,28.4912702605355,42.47725,4.49125,0.0,29.9994596378725
1,32.21,28.8984726398076,41.14175,4.52675,0.0,30.824305074537
1,30.35,29.8007343140953,41.07725,4.50025,0.0,29.0260643863179
1,29.95,31.8104147178048,41.42775,4.684,0.0,26.5938437931564
1,31.01,31.3617372302649,41.9225,4.6645,0.0,28.0811920710868
1,32.88,44.8862997695729,43.8705,4.9305,0.0,30.3724408171058
1,36.0,53.5194356,46.591,4.93225,0.063,34.2732734620566
1,42.9,60.0742373488224,50.03075,5.119,1.18275,41.8745129682997
1,43.97,57.5554498390469,53.10225,4.70275,3.7835,43.0267880477393
1,42.92,53.7448680049196,54.6685,4.54625,7.01875,40.5005852972554
1,39.13,52.93,55.6775,5.54975,9.9125,38.3170883199515
1,29.42,50.85,54.86625,6.5595,11.51275,30.3738304979068
1,27.31,47.8,52.74725,6.93,11.70575,28.5148373493976
1,28.03,46.8,50.95525,6.98875,10.85125,30.3854969959219
1,28.94,45.17,50.00925,7.558,8.8615,30.8698116594966
1,31.62,44.48,49.7275,8.526,5.54825,35.1793071851604
1,36.14,46.66,50.87875,8.94475,2.03525,38.3756199170125
1,42.97,49.56,52.89625,9.989,0.18525,45.4294273524532
1,42.99,55.44,54.9875,12.15,0.0,45.4243954232038
1,35.06,49.99,51.8435,13.70575,0.0,31.4751767418033
1,30.07,40.07,49.10675,14.3745,0.0,28.7710279113832
1,29.06,36.47,47.453,14.2875,0.0,24.4638760334396
1,23.55,32.43,44.31525,13.8965,0.0,18.3897597042514
1,19.71,32.6067812744988,40.70225,13.26175,0.0,20.515285784676
1,18.94,29.9994596378725,38.558,12.97475,0.0,16.5095696926376
1,19.03,30.824305074537,37.39325,12.88325,0.0,15.7876201941748
1,19.21,29.0260643863179,37.15875,12.8075,0.0,14.3469153085388
1,19.45,26.5938437931564,37.654,12.42,0.0,14.618208125857
1,19.01,28.0811920710868,37.8375,12.2745,0.0,15.4859861684929
1,19.03,30.3724408171058,38.01275,12.4125,0.0,14.6572275903981
1,19.52,34.2732734620566,39.83625,12.7535,0.0705,17.0901997404096
1,20.82,41.8745129682997,43.078,12.36225,1.92775,16.811650260269
1,20.62,43.0267880477393,46.06725,10.48,6.426,22.2092650569225
1,20.2,40.5005852972554,47.69975,10.28525,11.20325,23.4274383353071
1,19.99,39.13,50.09875,13.57675,14.8315,22.948465600845
1,16.5,29.42,49.5795,14.967,16.93625,17.4458760740544
1,13.19,27.31,47.616,14.5825,17.70125,6.0926705798713
1,12.89,28.03,45.7085,14.54225,16.574,6.62882718208851
1,13.1,28.94,44.86075,15.05175,13.40075,7.78022146207975
1,16.57,31.62,44.8715,14.94925,8.58425,11.3205894762221
1,23.35,36.14,46.937,13.6335,3.241,16.4308602081253
1,35.23,42.97,50.28525,12.564,0.24075,30.5174908661897
1,42.97,42.99,53.41725,14.302,0.0,37.2844816581203
1,32.28,35.06,51.523,15.702,0.0,30.168500221533
1,29.13,30.07,49.521,15.92275,0.0,23.8670094227728
1,31.2,29.06,48.63925,15.336,0.0,21.4886376256316
1,23.78,23.55,45.016,14.654,0.0,16.8774894144689
1,23.09,20.515285784676,42.483,13.63925,0.0,14.4633607969844
1,19.6,16.5095696926376,40.896,12.701,0.0,13.1951537329616
1,19.78,15.7876201941748,40.182,11.90475,0.0,13.4488195248145
1,19.47,14.3469153085388,40.96075,11.08725,0.0,13.8580811884711
1,19.64,14.618208125857,42.59925,10.365,0.0,12.9349446624114
1,26.14,15.4859861684929,47.062,10.11375,0.0,14.259562377531
1,40.73,14.6572275903981,56.33575,10.20025,0.00025,33.8030042112973
1,49.15,17.0901997404096,63.058,10.007,0.1105,42.4712584568132
1,49.88,16.811650260269,65.25775,8.81625,2.98425,42.2505993509213
1,42.0,22.2092650569225,65.851,6.49725,8.85575,36.4424489957612
1,32.23,23.4274383353071,66.265,5.632,14.0435,27.7119617209541
1,28.06,19.99,67.3935,7.04575,17.804,26.3672970486234
1,26.4,16.5,66.82575,8.24325,19.26925,26.1804504093594
1,26.35,13.19,65.808,7.8715,18.694,25.2661688001275
1,27.33,12.89,64.1,7.2715,16.37325,26.0579494578524
1,29.08,13.1,62.868,7.6115,12.327,29.6172814716456
1,32.65,16.57,61.3665,8.007,6.99825,29.9249712514782
1,47.01,23.35,61.608,7.93225,2.256,40.7656152426909
1,53.33,35.23,63.426,8.5415,0.15275,45.9086003849246
1,66.87,42.97,66.35975,9.92475,0.0,52.5804429215344
1,51.61,32.28,62.64575,10.76725,0.0,41.5951294613694
1,41.51,29.13,58.47275,11.114,0.0,29.2030761476753
1,32.72,31.2,54.9835,10.55775,0.0,26.3984943975052
1,31.42,23.78,50.50675,9.8955,0.0,22.3332246761939
1,30.39,14.4633607969844,47.08375,8.75575,0.0,29.9019529669589
1,30.0,13.1951537329616,45.23925,7.79425,0.0,29.3942344896598
1,29.76,13.4488195248145,44.355,7.36175,0.0,32.0315704562642
1,28.87,13.8580811884711,44.8815,7.184,0.0,31.6560607950117
1,29.05,12.9349446624114,46.406,7.11725,0.0,31.176339076499
1,31.7,14.259562377531,49.89275,7.0095,0.0,33.6767812049062
1,43.98,33.8030042112973,58.222,6.89025,0.00025,40.7360520910361
1,52.62,42.4712584568132,64.6965,6.78325,0.05625,55.3207902320643
1,56.6,42.2505993509213,66.903,6.243,1.24975,64.4057624325327
