X0,DA-1d,DA-2d,DA-7d,DA_avg,DA_min,DA_max,DA_last,FL,FW,FS,DayAhead
1,49.03,55.0,,37.98041666666666,28.65,60.0,30.13,49.94675,2.45175,0.0,41.95
1,39.8,44.95,,37.98041666666666,28.65,60.0,30.13,47.0695,2.34125,0.0,37.79
1,33.5,39.96,,37.98041666666666,28.65,60.0,30.13,44.95575,2.18025,0.0,40.28
1,30.13,30.43,,37.98041666666666,28.65,60.0,30.13,41.62025,2.10925,0.0,30.35
1,26.75,31.37,,28.85291666666667,20.24,47.01,30.35,37.66,2.541,0.0,27.63
1,26.26,30.98,,28.85291666666667,20.24,47.01,30.35,35.99525,2.628,0.0,27.01
1,26.39,29.93,,28.85291666666667,20.24,47.01,30.35,34.8765,2.488,0.0,26.82
1,26.04,30.15,,28.85291666666667,20.24,47.01,30.35,34.45975,2.30125,0.0,24.0
1,24.77,30.82,,28.85291666666667,20.24,47.01,30.35,34.805,2.27975,0.0,25.7
1,25.49,32.3,,28.85291666666667,20.24,47.01,30.35,35.51925,2.424,0.0,26.13
1,24.03,44.68,,28.85291666666667,20.24,47.01,30.35,36.78025,2.635,0.00125,26.14
1,26.14,54.92,,28.85291666666667,20.24,47.01,30.35,38.19975,2.79725,0.2405,27.52
1,28.06,60.0,,28.85291666666667,20.24,47.01,30.35,41.56075,2.712,1.957,30.02
1,26.4,46.96,,28.85291666666667,20.24,47.01,30.35,45.06975,2.216,4.96525,31.95
1,24.67,37.92,,28.85291666666667,20.24,47.01,30.35,47.50075,1.87225,8.24675,30.53
1,24.63,32.01,,28.85291666666667,20.24,47.01,30.35,50.211,1.76725,10.62575,31.62
1,23.53,30.07,,28.85291666666667,20.24,47.01,30.35,50.1525,1.796,12.04575,29.24
1,20.24,28.65,,28.85291666666667,20.24,47.01,30.35,48.323,1.918,12.28325,27.09
1,21.94,28.91,,28.85291666666667,20.24,47.01,30.35,46.1385,1.9785,11.3625,26.06
1,23.52,29.6,,28.85291666666667,20.24,47.01,30.35,45.11675,1.92775,9.31525,26.01
1,24.05,32.02,,28.85291666666667,20.24,47.01,30.35,44.617,1.76375,6.38725,25.44
1,31.88,44.68,,28.85291666666667,20.24,47.01,30.35,45.9565,1.53925,3.076,31.8
1,40.3,48.1,,28.85291666666667,20.24,47.01,30.35,48.18275,1.42625,0.4815,40.48
1,47.01,55.0,,28.85291666666667,20.24,47.01,30.35,50.4295,1.32725,0.0045,46.99
1,41.95,49.03,,28.85291666666667,20.24,47.01,30.35,49.7615,1.2395,0.0,44.9
1,37.79,39.8,,28.85291666666667,20.24,47.01,30.35,47.4715,1.2555,0.0,40.95
1,40.28,33.5,,28.85291666666667,20.24,47.01,30.35,46.16575,1.22825,0.0,40.41
1,30.35,30.13,,28.85291666666667,20.24,47.01,30.35,42.70325,1.19025,0.0,33.96
1,27.63,26.75,,31.183333333333337,24.0,46.99,33.96,39.421,1.329,0.0,27.66
1,27.01,26.26,,31.183333333333337,24.0,46.99,33.96,37.8905,1.282,0.0,26.68
1,26.82,26.39,,31.183333333333337,24.0,46.99,33.96,37.212,1.29925,0.0,26.82
1,24.0,26.04,,31.183333333333337,24.0,46.99,33.96,37.6635,1.41875,0.0,26.02
1,25.7,24.77,,31.183333333333337,24.0,46.99,33.96,39.33275,1.579,0.0,25.84
1,26.13,25.49,,31.183333333333337,24.0,46.99,33.96,43.82775,1.8125,0.0,28.25
1,26.14,24.03,,31.183333333333337,24.0,46.99,33.96,53.4485,2.099,0.002,42.17
1,27.52,26.14,,31.183333333333337,24.0,46.99,33.96,59.67625,2.45325,0.217,52.0
1,30.02,28.06,,31.183333333333337,24.0,46.99,33.96,62.6415,2.60175,1.9175,55.07
1,31.95,26.4,,31.183333333333337,24.0,46.99,33.96,63.8585,2.382,4.9435,53.01
1,30.53,24.67,,31.183333333333337,24.0,46.99,33.96,65.30475,2.05025,8.96875,51.56
1,31.62,24.63,,31.183333333333337,24.0,46.99,33.96,66.9275,2.00825,13.19775,49.08
1,29.24,23.53,,31.183333333333337,24.0,46.99,33.96,66.59275,2.20575,15.458,42.17
1,27.09,20.24,,31.183333333333337,24.0,46.99,33.96,66.12325,2.5555,15.4535,40.4
1,26.06,21.94,,31.183333333333337,24.0,46.99,33.96,63.9705,2.96175,14.03725,38.84
1,26.01,23.52,,31.183333333333337,24.0,46.99,33.96,62.63825,3.2775,11.39125,40.97
1,25.44,24.05,,31.183333333333337,24.0,46.99,33.96,60.3735,3.61725,7.399,41.38
1,31.8,31.88,,31.183333333333337,24.0,46.99,33.96,59.7445,4.199,3.2375,44.61
1,40.48,40.3,,31.183333333333337,24.0,46.99,33.96,60.15075,5.46375,0.42425,45.1
1,46.99,47.01,,31.183333333333337,24.0,46.99,33.96,62.26975,7.044,0.00425,51.75
1,44.9,41.95,,31.183333333333337,24.0,46.99,33.96,60.1155,8.41475,0.0,45.45
1,40.95,37.79,,31.183333333333337,24.0,46.99,33.96,56.50975,8.9745,0.0,33.26
1,40.41,40.28,,31.183333333333337,24.0,46.99,33.96,51.44225,9.233,0.0,28.06
1,33.96,30.35,,31.183333333333337,24.0,46.99,33.96,46.466,9.29775,0.0,27.01
1,27.66,27.63,,39.29833333333334,25.84,55.07,27.01,44.22975,9.54575,0.0,25.05
1,26.68,27.01,,39.29833333333334,25.84,55.07,27.01,42.34725,9.506,0.0,26.16
1,26.82,26.82,,39.29833333333334,25.84,55.07,27.01,41.39675,9.45725,0.0,23.87
1,26.02,24.0,,39.29833333333334,25.84,55.07,27.01,41.779,9.4375,0.0,23.06
1,25.84,25.7,,39.29833333333334,25.84,55.07,27.01,43.08575,9.48175,0.0,23.66
1,28.25,26.13,,39.29833333333334,25.84,55.07,27.01,47.0885,9.545,0.0,26.4
1,42.17,26.14,,39.29833333333334,25.84,55.07,27.01,56.1545,9.744,0.001,35.29
1,52.0,27.52,,39.29833333333334,25.84,55.07,27.01,61.75025,10.041,0.10725,45.81
1,55.07,30.02,,39.29833333333334,25.84,55.07,27.01,64.239,10.19025,1.03,48.08
1,53.01,31.95,,39.29833333333334,25.84,55.07,27.01,65.05275,10.24225,2.619,46.87
1,51.56,30.53,,39.29833333333334,25.84,55.07,27.01,66.297,10.1895,4.35275,47.21
1,49.08,31.62,,39.29833333333334,25.84,55.07,27.01,68.00475,10.16975,5.965,46.95
1,42.17,29.24,,39.29833333333334,25.84,55.07,27.01,67.70775,10.26275,6.9555,45.69
1,40.4,27.09,,39.29833333333334,25.84,55.07,27.01,66.72925,10.308,7.099,46.12
1,38.84,26.06,,39.29833333333334,25.84,55.07,27.01,64.93325,10.4765,6.51575,43.92
1,40.97,26.01,,39.29833333333334,25.84,55.07,27.01,63.31475,10.79425,5.32725,41.27
1,41.38,25.44,,39.29833333333334,25.84,55.07,27.01,61.6745,11.2605,3.49975,40.0
1,44.61,31.8,,39.29833333333334,25.84,55.07,27.01,61.21625,11.7875,1.55025,40.55
1,45.1,40.48,,39.29833333333334,25.84,55.07,27.01,61.4285,12.3465,0.222,41.91
1,51.75,46.99,,39.29833333333334,25.84,55.07,27.01,63.31875,12.72125,0.00175,45.87
1,45.45,44.9,,39.29833333333334,25.84,55.07,27.01,60.89175,12.89175,0.0,39.91
1,33.26,40.95,,39.29833333333334,25.84,55.07,27.01,56.91,12.79675,0.0,32.18
1,28.06,40.41,,39.29833333333334,25.84,55.07,27.01,52.24525,12.51375,0.0,30.05
1,27.01,33.96,,39.29833333333334,25.84,55.07,27.01,47.50625,12.156,0.0,27.56
1,25.05,27.66,,37.22666666666665,23.06,48.08,27.56,45.42825,10.83675,0.0,28.07
1,26.16,26.68,,37.22666666666665,23.06,48.08,27.56,43.3545,10.55375,0.0,25.19
1,23.87,26.82,,37.22666666666665,23.06,48.08,27.56,42.49175,10.13325,0.0,24.08
1,23.06,26.02,,37.22666666666665,23.06,48.08,27.56,42.81975,9.742,0.0,23.45
1,23.66,25.84,,37.22666666666665,23.06,48.08,27.56,44.15075,9.307,0.0,23.66
1,26.4,28.25,,37.22666666666665,23.06,48.08,27.56,47.82725,9.0405,0.0,26.26
1,35.29,42.17,,37.22666666666665,23.06,48.08,27.56,55.9945,8.9075,0.00075,34.3
1,45.81,52.0,,37.22666666666665,23.06,48.08,27.56,61.83875,8.73475,0.065,47.68
1,48.08,55.07,,37.22666666666665,23.06,48.08,27.56,64.369,8.5685,0.616,50.03
1,46.87,53.01,,37.22666666666665,23.06,48.08,27.56,64.91575,8.31675,1.74425,49.84
1,47.21,51.56,,37.22666666666665,23.06,48.08,27.56,65.81925,8.14375,2.972,49.02
1,46.95,49.08,,37.22666666666665,23.06,48.08,27.56,67.3505,7.94425,3.96075,48.97
1,45.69,42.17,,37.22666666666665,23.06,48.08,27.56,66.69075,7.685,4.727,47.51
1,46.12,40.4,,37.22666666666665,23.06,48.08,27.56,65.9025,7.3585,5.0755,47.07
1,43.92,38.84,,37.22666666666665,23.06,48.08,27.56,64.0595,6.86125,4.73075,45.94
1,41.27,40.97,,37.22666666666665,23.06,48.08,27.56,62.5255,6.42175,3.88975,45.95
1,40.0,41.38,,37.22666666666665,23.06,48.08,27.56,61.06675,6.0585,2.4795,44.2
1,40.55,44.61,,37.22666666666665,23.06,48.08,27.56,60.9475,5.86825,1.022,45.74
1,41.91,45.1,,37.22666666666665,23.06,48.08,27.56,61.77225,5.9375,0.13675,49.58
1,45.87,51.75,,37.22666666666665,23.06,48.08,27.56,64.02875,6.096,0.001,56.56
1,39.91,45.45,,37.22666666666665,23.06,48.08,27.56,61.29625,6.24925,0.0,49.56
1,32.18,33.26,,37.22666666666665,23.06,48.08,27.56,57.36775,6.3525,0.0,41.52
1,30.05,28.06,,37.22666666666665,23.06,48.08,27.56,53.234,6.3415,0.0,36.36
1,27.56,27.01,,37.22666666666665,23.06,48.08,27.56,48.54925,6.121,0.0,30.99
1,28.07,25.05,30.03,40.48041666666668,23.45,56.56,30.99,45.35825,6.228,0.0,32.2
1,25.19,26.16,30.09,40.48041666666668,23.45,56.56,30.99,43.347,5.58775,0.0,28.72
1,24.08,23.87,28.62,40.48041666666668,23.45,56.56,30.99,42.4065,4.88175,0.0,28.08
1,23.45,23.06,29.14,40.48041666666668,23.45,56.56,30.99,42.7345,4.37675,0.0,27.95
1,23.66,23.66,29.4,40.48041666666668,23.45,56.56,30.99,43.91225,3.9105,0.0,28.42
1,26.26,26.4,32.77,40.48041666666668,23.45,56.56,30.99,47.729,3.53,0.0,34.76
1,34.3,35.29,44.97,40.48041666666668,23.45,56.56,30.99,56.66925,3.25875,0.00075,46.49
1,47.68,45.81,56.0,40.48041666666668,23.45,56.56,30.99,62.5255,2.979,0.09375,55.7
1,50.03,48.08,59.06,40.48041666666668,23.45,56.56,30.99,64.59275,2.74725,0.9615,59.84
1,49.84,46.87,48.46,40.48041666666668,23.45,56.56,30.99,65.18725,2.541,2.5655,61.14
1,49.02,47.21,34.45,40.48041666666668,23.45,56.56,30.99,66.39125,2.35175,4.47425,59.13
1,48.97,46.95,30.44,40.48041666666668,23.45,56.56,30.99,68.00725,2.19125,6.03475,56.0
1,47.51,45.69,29.14,40.48041666666668,23.45,56.56,30.99,67.31475,2.0765,6.8375,52.46
1,47.07,46.12,30.02,40.48041666666668,23.45,56.56,30.99,66.53175,2.00425,6.77725,51.05
1,45.94,43.92,28.81,40.48041666666668,23.45,56.56,30.99,64.6405,1.90375,6.02175,50.78
1,45.95,41.27,31.38,40.48041666666668,23.45,56.56,30.99,62.93475,1.84775,4.75325,50.22
1,44.2,40.0,36.26,40.48041666666668,23.45,56.56,30.99,61.51225,1.82625,3.0815,50.0
1,45.74,40.55,44.48,40.48041666666668,23.45,56.56,30.99,61.725,1.81675,1.32575,51.69
1,49.58,41.91,51.57,40.48041666666668,23.45,56.56,30.99,62.722,1.8645,0.17725,55.99
1,56.56,45.87,61.0,40.48041666666668,23.45,56.56,30.99,64.755,1.9045,0.00225,72.7
1,49.56,39.91,55.0,40.48041666666668,23.45,56.56,30.99,61.61475,1.949,0.0,58.04
1,41.52,32.18,44.95,40.48041666666668,23.45,56.56,30.99,57.147,1.96875,0.0,43.98
1,36.36,30.05,39.96,40.48041666666668,23.45,56.56,30.99,52.89,1.9445,0.0,40.99
1,30.99,27.56,30.43,40.48041666666668,23.45,56.56,30.99,48.5785,1.89225,0.0,35.06
1,32.2,28.07,31.37,47.14124999999999,27.95,72.7,35.06,44.4095,1.14725,0.0,33.12
1,28.72,25.19,30.98,47.14124999999999,27.95,72.7,35.06,42.43675,1.1125,0.0,32.02
1,28.08,24.08,29.93,47.14124999999999,27.95,72.7,35.06,41.5975,1.07125,0.0,30.26
1,27.95,23.45,30.15,47.14124999999999,27.95,72.7,35.06,41.935,1.08775,0.0,28.22
1,28.42,23.66,30.82,47.14124999999999,27.95,72.7,35.06,43.23775,1.1165,0.0,30.47
1,34.76,26.26,32.3,47.14124999999999,27.95,72.7,35.06,47.0825,1.1425,0.0,32.09
1,46.49,34.3,44.68,47.14124999999999,27.95,72.7,35.06,55.8105,1.18125,0.00025,46.62
1,55.7,47.68,54.92,47.14124999999999,27.95,72.7,35.06,62.57525,1.2165,0.09175,55.48
1,59.84,50.03,60.0,47.14124999999999,27.95,72.7,35.06,64.976,1.21,0.9125,61.04
1,61.14,49.84,46.96,47.14124999999999,27.95,72.7,35.06,65.4865,1.14775,2.598,61.0
1,59.13,49.02,37.92,47.14124999999999,27.95,72.7,35.06,66.396,1.1325,4.8905,55.09
1,56.0,48.97,32.01,47.14124999999999,27.95,72.7,35.06,67.50725,1.1125,7.105,52.93
1,52.46,47.51,30.07,47.14124999999999,27.95,72.7,35.06,66.50825,1.11075,8.4485,50.85
1,51.05,47.07,28.65,47.14124999999999,27.95,72.7,35.06,65.16675,1.1365,8.691,47.8
1,50.78,45.94,28.91,47.14124999999999,27.95,72.7,35.06,63.29875,1.21175,7.8825,46.8
1,50.22,45.95,29.6,47.14124999999999,27.95,72.7,35.06,61.4305,1.341,6.178,45.17
1,50.0,44.2,32.02,47.14124999999999,27.95,72.7,35.06,60.26025,1.561,3.87175,44.48
1,51.69,45.74,44.68,47.14124999999999,27.95,72.7,35.06,60.053,1.89525,1.65375,46.66
1,55.99,49.58,48.1,47.14124999999999,27.95,72.7,35.06,60.5955,2.259,0.21775,49.56
1,72.7,56.56,55.0,47.14124999999999,27.95,72.7,35.06,62.49425,2.62175,0.001,55.44
1,58.04,49.56,49.03,47.14124999999999,27.95,72.7,35.06,59.2595,2.8625,0.0,49.99
1,43.98,41.52,39.8,47.14124999999999,27.95,72.7,35.06,54.95175,2.93325,0.0,40.07
1,40.99,36.36,33.5,47.14124999999999,27.95,72.7,35.06,51.0035,3.002,0.0,36.47
1,35.06,30.99,30.13,47.14124999999999,27.95,72.7,35.06,46.68375,3.10925,0.0,32.43
1,33.12,32.2,26.75,44.33583333333333,28.22,61.04,32.43,43.3825,3.54625,0.0,32.46
1,32.02,28.72,26.26,44.33583333333333,28.22,61.04,32.43,41.19875,3.4145,0.0,28.53
1,30.26,28.08,26.39,44.33583333333333,28.22,61.04,32.43,39.968,3.272,0.0,32.21
1,28.22,27.95,26.04,44.33583333333333,28.22,61.04,32.43,39.7735,3.2485,0.0,30.35
