X0,W*,Forecast Wind,FW-1h,FW+1h,Wind
1,3.1585,10.19025,10.041,10.24225,12.9975
1,2.876,10.24225,10.19025,10.1895,12.8355
1,2.3805,10.1895,10.24225,10.16975,12.65225
1,2.00825,10.16975,10.1895,10.26275,12.38675
1,2.20575,10.26275,10.16975,10.308,11.96725
1,2.5555,10.308,10.26275,10.4765,11.3595
1,2.96175,10.4765,10.308,10.79425,10.80475
1,3.2775,10.79425,10.4765,11.2605,10.03
1,3.61725,11.2605,10.79425,11.7875,9.65625
1,4.199,11.7875,11.2605,12.3465,10.052
1,5.46375,12.3465,11.7875,12.72125,10.45525
1,7.044,12.72125,12.3465,12.89175,11.247
1,8.41475,12.89175,12.72125,12.79675,11.6065
1,8.9745,12.79675,12.89175,12.51375,11.46875
1,9.233,12.51375,12.79675,12.156,11.4405
1,9.29775,12.156,12.51375,10.83675,11.66575
1,13.38475,10.83675,12.156,10.55375,11.77425
1,13.68275,10.55375,10.83675,10.13325,11.22875
1,13.88825,10.13325,10.55375,9.742,10.8115
1,13.84225,9.742,10.13325,9.307,10.23675
1,13.8865,9.307,9.742,9.0405,9.8025
1,14.03075,9.0405,9.307,8.9075,9.582
1,14.063,8.9075,9.0405,8.73475,9.7045
1,13.7795,8.73475,8.9075,8.5685,9.631
1,12.9975,8.5685,8.73475,8.31675,9.542
1,12.8355,8.31675,8.5685,8.14375,9.33925
1,12.65225,8.14375,8.31675,7.94425,8.9725
1,10.16975,7.94425,8.14375,7.685,8.6575
1,10.26275,7.685,7.94425,7.3585,8.4245
1,10.308,7.3585,7.685,6.86125,7.823
1,10.4765,6.86125,7.3585,6.42175,7.46025
1,10.79425,6.42175,6.86125,6.0585,7.2805
1,11.2605,6.0585,6.42175,5.86825,7.028
1,11.7875,5.86825,6.0585,5.9375,7.097
1,12.3465,5.9375,5.86825,6.096,7.38325
1,12.72125,6.096,5.9375,6.24925,7.582
1,12.89175,6.24925,6.096,6.3525,7.7775
1,12.79675,6.3525,6.24925,6.3415,7.4725
1,12.51375,6.3415,6.3525,6.121,7.166
1,12.156,6.121,6.3415,6.228,6.54225
1,11.77425,6.228,6.121,5.58775,5.75925
1,11.22875,5.58775,6.228,4.88175,5.059
1,10.8115,4.88175,5.58775,4.37675,4.41775
1,10.23675,4.37675,4.88175,3.9105,3.79675
1,9.8025,3.9105,4.37675,3.53,3.54225
1,9.582,3.53,3.9105,3.25875,3.34125
1,9.7045,3.25875,3.53,2.979,3.28475
1,9.631,2.979,3.25875,2.74725,3.2005
1,9.542,2.74725,2.979,2.541,2.866
1,9.33925,2.541,2.74725,2.35175,2.41475
1,8.9725,2.35175,2.541,2.19125,2.0675
1,7.94425,2.19125,2.35175,2.0765,1.8675
1,7.685,2.0765,2.19125,2.00425,1.70825
1,7.3585,2.00425,2.0765,1.90375,1.65725
1,6.86125,1.90375,2.00425,1.84775,1.53475
1,6.42175,1.84775,1.90375,1.82625,1.516
