X0,XS,S*,Forecast Solar,FS-1h,FS+1h,Solar
1,0.4770833333333333,18.70625,12.28325,12.04575,11.3625,11.119
1,0.4770833333333333,16.842,11.3625,12.28325,9.31525,10.028
1,0.4770833333333333,13.2735,9.31525,11.3625,6.38725,8.456
1,0.4770833333333333,8.674,6.38725,9.31525,3.076,5.88425
1,0.4770833333333333,3.9845,3.076,6.38725,0.4815,3.036
1,0.4770833333333333,0.616,0.4815,3.076,0.0045,0.53175
1,0.4770833333333333,0.00725,0.0045,0.4815,0.0,0.00425
1,0.4770833333333333,0.0,0.0,0.0045,0.0,0.0
1,0.4770833333333333,0.0,0.0,0.0,0.0,0.0
1,0.4770833333333333,0.0,0.0,0.0,0.0,0.0
1,0.4770833333333333,0.0,0.0,0.0,0.0,0.0
1,0.47500000000000003,0.0,0.0,0.0,0.0,0.0
1,0.47500000000000003,0.0,0.0,0.0,0.0,0.0
1,0.47500000000000003,0.0,0.0,0.0,0.0,0.0
1,0.47500000000000003,0.0,0.0,0.0,0.0,0.0
1,0.47500000000000003,0.0,0.0,0.0,0.0,0.0
1,0.47500000000000003,0.0,0.0,0.0,0.002,0.0
1,0.47500000000000003,0.00025,0.002,0.0,0.217,0.00075
1,0.47500000000000003,0.17825,0.217,0.002,1.9175,0.16425
1,0.47500000000000003,1.84325,1.9175,0.217,4.9435,2.14125
1,0.47500000000000003,4.58675,4.9435,1.9175,8.96875,6.7995
1,0.47500000000000003,7.175,8.96875,4.9435,13.19775,10.80575
1,0.47500000000000003,10.62575,13.19775,8.96875,15.458,13.4445
1,0.47500000000000003,12.04575,15.458,13.19775,15.4535,15.149
1,0.47500000000000003,12.28325,15.4535,15.458,14.03725,15.76375
1,0.47500000000000003,11.3625,14.03725,15.4535,11.39125,14.483
1,0.47500000000000003,9.31525,11.39125,14.03725,7.399,11.8205
1,0.47500000000000003,6.38725,7.399,11.39125,3.2375,7.5925
1,0.47500000000000003,3.076,3.2375,7.399,0.42425,3.085
1,0.47500000000000003,0.4815,0.42425,3.2375,0.00425,0.299
1,0.47500000000000003,0.0045,0.00425,0.42425,0.0,0.004
1,0.47500000000000003,0.0,0.0,0.00425,0.0,0.0
1,0.47500000000000003,0.0,0.0,0.0,0.0,0.0
1,0.47500000000000003,0.0,0.0,0.0,0.0,0.0
1,0.47500000000000003,0.0,0.0,0.0,0.0,0.0
1,0.4722222222222208,0.0,0.0,0.0,0.0,0.0
1,0.4722222222222208,0.0,0.0,0.0,0.0,0.0
1,0.4722222222222208,0.0,0.0,0.0,0.0,0.0
1,0.4722222222222208,0.0,0.0,0.0,0.0,0.0
1,0.4722222222222208,0.0,0.0,0.0,0.0,0.0
1,0.4722222222222208,0.0,0.0,0.0,0.001,0.0
1,0.4722222222222208,0.00075,0.001,0.0,0.10725,0.00025
1,0.4722222222222208,0.16425,0.10725,0.001,1.03,0.09275
1,0.4722222222222208,2.14125,1.03,0.10725,2.619,1.3405
1,0.4722222222222208,6.7995,2.619,1.03,4.35275,4.029
1,0.4722222222222208,10.80575,4.35275,2.619,5.965,6.71525
1,0.4722222222222208,13.19775,5.965,4.35275,6.9555,8.5535
1,0.4722222222222208,15.458,6.9555,5.965,7.099,9.29125
1,0.4722222222222208,15.4535,7.099,6.9555,6.51575,8.86475
1,0.4722222222222208,14.03725,6.51575,7.099,5.32725,7.21925
1,0.4722222222222208,11.39125,5.32725,6.51575,3.49975,5.37725
1,0.4722222222222208,7.399,3.49975,5.32725,1.55025,3.2575
1,0.4722222222222208,3.2375,1.55025,3.49975,0.222,1.26125
1,0.4722222222222208,0.42425,0.222,1.55025,0.00175,0.149
1,0.4722222222222208,0.00425,0.00175,0.222,0.0,0.00475
1,0.4722222222222208,0.0,0.0,0.00175,0.0,0.0
1,0.4722222222222208,0.0,0.0,0.0,0.0,0.0
1,0.4722222222222208,0.0,0.0,0.0,0.0,0.0
1,0.4722222222222208,0.0,0.0,0.0,0.0,0.0
1,0.46875,0.0,0.0,0.0,0.0,0.0
1,0.46875,0.0,0.0,0.0,0.0,0.0
1,0.46875,0.0,0.0,0.0,0.0,0.0
1,0.46875,0.0,0.0,0.0,0.0,0.0
1,0.46875,0.0,0.0,0.0,0.0,0.0
1,0.46875,0.0,0.0,0.0,0.00075,0.0
1,0.46875,0.00025,0.00075,0.0,0.065,0.0
1,0.46875,0.09275,0.065,0.00075,0.616,0.0465
1,0.46875,1.3405,0.616,0.065,1.74425,0.64025
1,0.46875,4.029,1.74425,0.616,2.972,2.1135
1,0.46875,6.71525,2.972,1.74425,3.96075,3.84925
1,0.46875,5.965,3.96075,2.972,4.727,5.26175
1,0.46875,6.9555,4.727,3.96075,5.0755,5.9245
1,0.46875,7.099,5.0755,4.727,4.73075,5.795
1,0.46875,6.51575,4.73075,5.0755,3.88975,5.1905
1,0.46875,5.32725,3.88975,4.73075,2.4795,4.275
1,0.46875,3.49975,2.4795,3.88975,1.022,2.83025
1,0.46875,1.55025,1.022,2.4795,0.13675,1.324
1,0.46875,0.222,0.13675,1.022,0.001,0.20675
1,0.46875,0.00175,0.001,0.13675,0.0,0.0
1,0.46875,0.0,0.0,0.001,0.0,0.0
1,0.46875,0.0,0.0,0.0,0.0,0.0
1,0.46875,0.0,0.0,0.0,0.0,0.0
1,0.46875,0.0,0.0,0.0,0.0,0.0
1,0.4666666666666666,0.0,0.0,0.0,0.0,0.0
1,0.4666666666666666,0.0,0.0,0.0,0.0,0.0
1,0.4666666666666666,0.0,0.0,0.0,0.0,0.0
1,0.4666666666666666,0.0,0.0,0.0,0.0,0.0
1,0.4666666666666666,0.0,0.0,0.0,0.0,0.0
1,0.4666666666666666,0.0,0.0,0.0,0.00075,0.0
1,0.4666666666666666,0.0,0.00075,0.0,0.09375,0.00025
1,0.4666666666666666,0.0465,0.09375,0.00075,0.9615,0.04775
1,0.4666666666666666,0.64025,0.9615,0.09375,2.5655,0.823
1,0.4666666666666666,2.1135,2.5655,0.9615,4.47425,2.50925
1,0.4666666666666666,3.84925,4.47425,2.5655,6.03475,4.63675
1,0.4666666666666666,3.96075,6.03475,4.47425,6.8375,6.44075
1,0.4666666666666666,4.727,6.8375,6.03475,6.77725,7.4925
1,0.4666666666666666,5.0755,6.77725,6.8375,6.02175,7.13625
1,0.4666666666666666,4.73075,6.02175,6.77725,4.75325,6.257
1,0.4666666666666666,3.88975,4.75325,6.02175,3.0815,4.86525
1,0.4666666666666666,2.4795,3.0815,4.75325,1.32575,3.132
1,0.4666666666666666,1.022,1.32575,3.0815,0.17725,1.2565
1,0.4666666666666666,0.13675,0.17725,1.32575,0.00225,0.11225
1,0.4666666666666666,0.001,0.00225,0.17725,0.0,0.0
1,0.4666666666666666,0.0,0.0,0.00225,0.0,0.0
1,0.4666666666666666,0.0,0.0,0.0,0.0,0.0
1,0.4666666666666666,0.0,0.0,0.0,0.0,0.0
1,0.4666666666666666,0.0,0.0,0.0,0.0,0.0
1,0.4638888888888875,0.0,0.0,0.0,0.0,0.0
1,0.4638888888888875,0.0,0.0,0.0,0.0,0.0
1,0.4638888888888875,0.0,0.0,0.0,0.0,0.0
1,0.4638888888888875,0.0,0.0,0.0,0.0,0.0
1,0.4638888888888875,0.0,0.0,0.0,0.0,0.0
1,0.4638888888888875,0.0,0.0,0.0,0.00025,0.0
1,0.4638888888888875,0.00025,0.00025,0.0,0.09175,0.0
1,0.4638888888888875,0.04775,0.09175,0.00025,0.9125,0.06075
1,0.4638888888888875,0.823,0.9125,0.09175,2.598,0.943
1,0.4638888888888875,2.50925,2.598,0.9125,4.8905,3.02275
1,0.4638888888888875,4.63675,4.8905,2.598,7.105,5.67625
1,0.4638888888888875,6.03475,7.105,4.8905,8.4485,8.115
1,0.4638888888888875,6.8375,8.4485,7.105,8.691,9.747
1,0.4638888888888875,6.77725,8.691,8.4485,7.8825,10.0615
1,0.4638888888888875,6.02175,7.8825,8.691,6.178,9.089
1,0.4638888888888875,4.75325,6.178,7.8825,3.87175,7.11675
1,0.4638888888888875,3.0815,3.87175,6.178,1.65375,4.58825
1,0.4638888888888875,1.32575,1.65375,3.87175,0.21775,1.8525
1,0.4638888888888875,0.17725,0.21775,1.65375,0.001,0.1635
1,0.4638888888888875,0.00225,0.001,0.21775,0.0,0.0
1,0.4638888888888875,0.0,0.0,0.001,0.0,0.0
1,0.4638888888888875,0.0,0.0,0.0,0.0,0.0
1,0.4638888888888875,0.0,0.0,0.0,0.0,0.0
1,0.4638888888888875,0.0,0.0,0.0,0.0,0.0
1,0.4611111111111125,0.0,0.0,0.0,0.0,0.0
1,0.4611111111111125,0.0,0.0,0.0,0.0,0.0
1,0.4611111111111125,0.0,0.0,0.0,0.0,0.0
1,0.4611111111111125,0.0,0.0,0.0,0.0,0.0
1,0.4611111111111125,0.0,0.0,0.0,0.0,0.0
1,0.4611111111111125,0.0,0.0,0.0,0.0005,0.0
1,0.4611111111111125,0.0,0.0005,0.0,0.10325,0.0
1,0.4611111111111125,0.06075,0.10325,0.0005,1.12325,0.063
1,0.4611111111111125,0.943,1.12325,0.10325,3.4705,1.18275
1,0.4611111111111125,3.02275,3.4705,1.12325,6.5085,3.7835
1,0.4611111111111125,5.67625,6.5085,3.4705,9.48075,7.01875
1,0.4611111111111125,7.105,9.48075,6.5085,11.38975,9.9125
1,0.4611111111111125,8.4485,11.38975,9.48075,11.87975,11.51275
1,0.4611111111111125,8.691,11.87975,11.38975,10.944,11.70575
1,0.4611111111111125,7.8825,10.944,11.87975,8.813,10.85125
1,0.4611111111111125,6.178,8.813,10.944,5.60525,8.8615
1,0.4611111111111125,3.87175,5.60525,8.813,2.3245,5.54825
1,0.4611111111111125,1.65375,2.3245,5.60525,0.29125,2.03525
1,0.4611111111111125,0.21775,0.29125,2.3245,0.00175,0.18525
1,0.4611111111111125,0.001,0.00175,0.29125,0.0,0.0
1,0.4611111111111125,0.0,0.0,0.00175,0.0,0.0
1,0.4611111111111125,0.0,0.0,0.0,0.0,0.0
1,0.4611111111111125,0.0,0.0,0.0,0.0,0.0
1,0.4611111111111125,0.0,0.0,0.0,0.0,0.0
1,0.45763888888888754,0.0,0.0,0.0,0.0,0.0
1,0.45763888888888754,0.0,0.0,0.0,0.0,0.0
1,0.45763888888888754,0.0,0.0,0.0,0.0,0.0
1,0.45763888888888754,0.0,0.0,0.0,0.0,0.0
1,0.45763888888888754,0.0,0.0,0.0,0.0,0.0
1,0.45763888888888754,0.0,0.0,0.0,0.0005,0.0
1,0.45763888888888754,0.0,0.0005,0.0,0.16425,0.0
1,0.45763888888888754,0.063,0.16425,0.0005,2.314,0.0705
1,0.45763888888888754,1.18275,2.314,0.16425,6.8615,1.92775
1,0.45763888888888754,3.7835,6.8615,2.314,11.85775,6.426
1,0.45763888888888754,7.01875,11.85775,6.8615,16.033,11.20325
1,0.45763888888888754,9.48075,16.033,11.85775,18.76525,14.8315
1,0.45763888888888754,11.38975,18.76525,16.033,19.45325,16.93625
1,0.45763888888888754,11.87975,19.45325,18.76525,18.265,17.70125
1,0.45763888888888754,10.944,18.265,19.45325,14.9505,16.574
1,0.45763888888888754,8.813,14.9505,18.265,9.55425,13.40075
1,0.45763888888888754,5.60525,9.55425,14.9505,3.8245,8.58425
1,0.45763888888888754,2.3245,3.8245,9.55425,0.44275,3.241
1,0.45763888888888754,0.29125,0.44275,3.8245,0.0015,0.24075
1,0.45763888888888754,0.00175,0.0015,0.44275,0.0,0.0
1,0.45763888888888754,0.0,0.0,0.0015,0.0,0.0
1,0.45763888888888754,0.0,0.0,0.0,0.0,0.0
1,0.45763888888888754,0.0,0.0,0.0,0.0,0.0
1,0.45763888888888754,0.0,0.0,0.0,0.0,0.0
1,0.45555555555555416,0.0,0.0,0.0,0.0,0.0
1,0.45555555555555416,0.0,0.0,0.0,0.0,0.0
1,0.45555555555555416,0.0,0.0,0.0,0.0,0.0
1,0.45555555555555416,0.0,0.0,0.0,0.0,0.0
1,0.45555555555555416,0.0,0.0,0.0,0.0,0.0
1,0.45555555555555416,0.0,0.0,0.0,0.0005,0.0
1,0.45555555555555416,0.0,0.0005,0.0,0.1975,0.00025
1,0.45555555555555416,0.0705,0.1975,0.0005,2.76125,0.1105
1,0.45555555555555416,1.92775,2.76125,0.1975,8.23575,2.98425
1,0.45555555555555416,6.426,8.23575,2.76125,14.438,8.85575
1,0.45555555555555416,11.20325,14.438,8.23575,19.02675,14.0435
1,0.45555555555555416,16.033,19.02675,14.438,21.438,17.804
1,0.45555555555555416,18.76525,21.438,19.02675,21.54225,19.26925
1,0.45555555555555416,19.45325,21.54225,21.438,19.237,18.694
1,0.45555555555555416,18.265,19.237,21.54225,14.87425,16.37325
1,0.45555555555555416,14.9505,14.87425,19.237,9.03925,12.327
1,0.45555555555555416,9.55425,9.03925,14.87425,3.3455,6.99825
1,0.45555555555555416,3.8245,3.3455,9.03925,0.33925,2.256
1,0.45555555555555416,0.44275,0.33925,3.3455,0.0,0.15275
1,0.45555555555555416,0.0015,0.0,0.33925,0.0,0.0
1,0.45555555555555416,0.0,0.0,0.0,0.0,0.0
1,0.45555555555555416,0.0,0.0,0.0,0.0,0.0
1,0.45555555555555416,0.0,0.0,0.0,0.0,0.0
1,0.45555555555555416,0.0,0.0,0.0,0.0,0.0
1,0.4527777777777791,0.0,0.0,0.0,0.0,0.0
1,0.4527777777777791,0.0,0.0,0.0,0.0,0.0
1,0.4527777777777791,0.0,0.0,0.0,0.0,0.0
1,0.4527777777777791,0.0,0.0,0.0,0.0,0.0
1,0.4527777777777791,0.0,0.0,0.0,0.0,0.0
1,0.4527777777777791,0.0,0.0,0.0,0.0005,0.0
1,0.4527777777777791,0.00025,0.0005,0.0,0.12,0.00025
1,0.4527777777777791,0.1105,0.12,0.0005,1.96825,0.05625
1,0.4527777777777791,2.98425,1.96825,0.12,5.75125,1.24975
1,0.4527777777777791,8.85575,5.75125,1.96825,9.4025,3.592
1,0.4527777777777791,14.0435,9.4025,5.75125,12.0085,5.6925
1,0.4527777777777791,19.02675,12.0085,9.4025,13.10775,7.143
1,0.4527777777777791,21.438,13.10775,12.0085,12.48725,7.6595
1,0.4527777777777791,21.54225,12.48725,13.10775,10.30525,7.064
1,0.4527777777777791,19.237,10.30525,12.48725,7.47375,5.5815
1,0.4527777777777791,14.87425,7.47375,10.30525,4.37125,3.69175
1,0.4527777777777791,9.03925,4.37125,7.47375,1.555,1.96
1,0.4527777777777791,3.3455,1.555,4.37125,0.14925,0.58075
1,0.4527777777777791,0.33925,0.14925,1.555,0.0,0.03875
1,0.4527777777777791,0.0,0.0,0.14925,0.0,0.0
1,0.4527777777777791,0.0,0.0,0.0,0.0,0.0
1,0.4527777777777791,0.0,0.0,0.0,0.0,0.0
1,0.4527777777777791,0.0,0.0,0.0,0.0,0.0
1,0.4527777777777791,0.0,0.0,0.0,0.0,0.0
1,0.45,0.0,0.0,0.0,0.0,0.0
1,0.45,0.0,0.0,0.0,0.0,0.0
1,0.45,0.0,0.0,0.0,0.0,0.0
1,0.45,0.0,0.0,0.0,0.0,0.0
1,0.45,0.0,0.0,0.0,0.0,0.0
1,0.45,0.0,0.0,0.0,0.0005,0.0
1,0.45,0.00025,0.0005,0.0,0.037,0.00025
1,0.45,0.05625,0.037,0.0005,0.54475,0.01575
1,0.45,1.24975,0.54475,0.037,1.69175,0.3705
1,0.45,3.592,1.69175,0.54475,3.184,1.1905
1,0.45,5.6925,3.184,1.69175,4.519,2.563
1,0.45,12.0085,4.519,3.184,5.27625,3.52625
1,0.45,13.10775,5.27625,4.519,5.38525,3.82925
1,0.45,12.48725,5.38525,5.27625,4.8515,3.691
1,0.45,10.30525,4.8515,5.38525,3.76425,3.25225
1,0.45,7.47375,3.76425,4.8515,2.2205,2.551
1,0.45,4.37125,2.2205,3.76425,0.78175,1.44525
1,0.45,1.555,0.78175,2.2205,0.07525,0.46075
1,0.45,0.14925,0.07525,0.78175,0.00025,0.03275
