X0,D1,D2,D3,L*,L-2d,L-7d,Forecast Load,FW,FS,FL_avg,FL_max,FL_min,Load
1,0.0,0.0,1.0,44.25975,44.27125,,40.0555,3.87475,0.0,44.86464583333333,51.46075,38.34225,40.9945
1,0.0,0.0,1.0,43.08525,43.33775,,38.7735,3.53225,0.0,44.86464583333333,51.46075,38.34225,39.73825
1,0.0,0.0,1.0,43.66525,43.79225,,38.34225,3.283,0.0,44.86464583333333,51.46075,38.34225,39.31675
1,0.0,0.0,1.0,45.104,45.16625,,38.42325,3.119,0.0,44.86464583333333,51.46075,38.34225,39.31475
1,0.0,0.0,1.0,49.0835,49.12975,,38.5525,3.11525,0.0,44.86464583333333,51.46075,38.34225,38.9965
1,0.0,0.0,1.0,57.866,58.05775,,39.20225,3.188,0.00175,44.86464583333333,51.46075,38.34225,39.36225
1,0.0,0.0,1.0,62.92825,63.421,,41.2475,3.15825,0.38675,44.86464583333333,51.46075,38.34225,41.2105
1,0.0,0.0,1.0,64.75475,65.4105,,44.09725,2.87975,3.453,44.86464583333333,51.46075,38.34225,44.13975
1,0.0,0.0,1.0,65.098,65.31825,,47.28025,2.26325,8.38525,44.86464583333333,51.46075,38.34225,46.7715
1,0.0,0.0,1.0,65.98425,66.2325,,49.535,1.7185,13.22375,44.86464583333333,51.46075,38.34225,49.00475
1,0.0,0.0,1.0,66.3945,67.0405,,51.46075,1.48925,16.7645,44.86464583333333,51.46075,38.34225,50.60625
1,0.0,0.0,1.0,65.62875,65.9525,,50.894,1.49225,18.60475,44.86464583333333,51.46075,38.34225,50.09
1,0.0,0.0,1.0,64.018,65.403,,48.937,1.59,18.70625,44.86464583333333,51.46075,38.34225,48.0925
1,0.0,0.0,1.0,61.886,64.1425,,46.91475,1.63375,16.842,44.86464583333333,51.46075,38.34225,46.4015
1,0.0,0.0,1.0,60.42175,62.1725,,45.90575,1.578,13.2735,44.86464583333333,51.46075,38.34225,45.4475
1,0.0,0.0,1.0,59.0985,60.16225,,45.404,1.46975,8.674,44.86464583333333,51.46075,38.34225,44.834
1,0.0,0.0,1.0,58.60575,59.73775,,46.21675,1.43875,3.9845,44.86464583333333,51.46075,38.34225,45.966
1,0.0,0.0,1.0,59.011,60.90425,,48.407,1.66475,0.616,44.86464583333333,51.46075,38.34225,47.506
1,0.0,0.0,1.0,61.21,64.3065,,51.01325,2.147,0.00725,44.86464583333333,51.46075,38.34225,50.1715
1,0.0,0.0,1.0,58.7525,62.468,,49.94675,2.45175,0.0,44.86464583333333,51.46075,38.34225,48.5635
1,0.0,0.0,1.0,54.461,58.11175,,47.0695,2.34125,0.0,44.86464583333333,51.46075,38.34225,45.98025
1,0.0,0.0,1.0,50.539,53.60575,,44.95575,2.18025,0.0,44.86464583333333,51.46075,38.34225,44.2085
1,0.0,0.0,1.0,46.4995,49.15575,,41.62025,2.10925,0.0,44.86464583333333,51.46075,38.34225,41.1305
1,0.0,0.0,1.0,43.17525,46.0905,,37.66,2.541,0.0,43.23568749999999,50.4295,34.45975,38.25725
1,0.0,0.0,1.0,40.9945,44.25975,,35.99525,2.628,0.0,43.23568749999999,50.4295,34.45975,36.23375
1,0.0,0.0,1.0,39.73825,43.08525,,34.8765,2.488,0.0,43.23568749999999,50.4295,34.45975,35.11125
1,0.0,0.0,1.0,39.31675,43.66525,,34.45975,2.30125,0.0,43.23568749999999,50.4295,34.45975,34.90075
1,0.0,0.0,1.0,39.31475,45.104,,34.805,2.27975,0.0,43.23568749999999,50.4295,34.45975,35.276
1,0.0,0.0,1.0,38.9965,49.0835,,35.51925,2.424,0.0,43.23568749999999,50.4295,34.45975,35.77925
1,0.0,0.0,1.0,39.36225,57.866,,36.78025,2.635,0.00125,43.23568749999999,50.4295,34.45975,36.66025
1,0.0,0.0,1.0,41.2105,62.92825,,38.19975,2.79725,0.2405,43.23568749999999,50.4295,34.45975,38.43175
1,0.0,0.0,1.0,44.13975,64.75475,,41.56075,2.712,1.957,43.23568749999999,50.4295,34.45975,42.03775
1,0.0,0.0,1.0,46.7715,65.098,,45.06975,2.216,4.96525,43.23568749999999,50.4295,34.45975,45.498
1,0.0,0.0,1.0,49.00475,65.98425,,47.50075,1.87225,8.24675,43.23568749999999,50.4295,34.45975,48.155
1,0.0,0.0,1.0,51.46075,66.2405,,50.211,1.76725,10.62575,43.23568749999999,50.4295,34.45975,50.6035
1,0.0,0.0,1.0,50.894,65.1055,,50.1525,1.796,12.04575,43.23568749999999,50.4295,34.45975,49.4005
1,0.0,0.0,1.0,48.937,53.431,,48.323,1.918,12.28325,43.23568749999999,50.4295,34.45975,47.83275
1,0.0,0.0,1.0,46.91475,52.414,,46.1385,1.9785,11.3625,43.23568749999999,50.4295,34.45975,46.24275
1,0.0,0.0,1.0,45.90575,57.86675,,45.11675,1.92775,9.31525,43.23568749999999,50.4295,34.45975,45.51125
1,0.0,0.0,1.0,45.404,58.7095,,44.617,1.76375,6.38725,43.23568749999999,50.4295,34.45975,45.4745
1,0.0,0.0,1.0,46.21675,58.68125,,45.9565,1.53925,3.076,43.23568749999999,50.4295,34.45975,46.72825
1,0.0,0.0,1.0,48.407,58.92125,,48.18275,1.42625,0.4815,43.23568749999999,50.4295,34.45975,48.7375
1,0.0,0.0,1.0,51.01325,61.64775,,50.4295,1.32725,0.0045,43.23568749999999,50.4295,34.45975,51.51675
1,0.0,0.0,1.0,49.94675,59.4255,,49.7615,1.2395,0.0,43.23568749999999,50.4295,34.45975,50.011
1,0.0,0.0,1.0,47.0695,54.88,,47.4715,1.2555,0.0,43.23568749999999,50.4295,34.45975,47.66475
1,0.0,0.0,1.0,44.95575,50.79375,,46.16575,1.22825,0.0,43.23568749999999,50.4295,34.45975,46.3485
1,0.0,0.0,1.0,41.62025,46.558,,42.70325,1.19025,0.0,43.23568749999999,50.4295,34.45975,43.0435
1,1.0,0.0,0.0,38.25725,43.17525,,39.421,1.329,0.0,55.15005208333333,66.9275,37.212,40.225
1,1.0,0.0,0.0,36.23375,40.9945,,37.8905,1.282,0.0,55.15005208333333,66.9275,37.212,38.77175
1,1.0,0.0,0.0,35.11125,39.73825,,37.212,1.29925,0.0,55.15005208333333,66.9275,37.212,38.39
1,1.0,0.0,0.0,34.90075,39.31675,,37.6635,1.41875,0.0,55.15005208333333,66.9275,37.212,39.20025
1,1.0,0.0,0.0,35.276,39.31475,,39.33275,1.579,0.0,55.15005208333333,66.9275,37.212,40.6835
1,1.0,0.0,0.0,35.77925,38.9965,,43.82775,1.8125,0.0,55.15005208333333,66.9275,37.212,45.42925
1,1.0,0.0,0.0,36.66025,39.36225,,53.4485,2.099,0.002,55.15005208333333,66.9275,37.212,55.752
1,1.0,0.0,0.0,38.43175,41.2105,,59.67625,2.45325,0.217,55.15005208333333,66.9275,37.212,61.9105
1,1.0,0.0,0.0,42.03775,44.13975,,62.6415,2.60175,1.9175,55.15005208333333,66.9275,37.212,63.5435
1,1.0,0.0,0.0,45.498,46.7715,,63.8585,2.382,4.9435,55.15005208333333,66.9275,37.212,63.9505
1,1.0,0.0,0.0,48.155,49.00475,,65.30475,2.05025,8.96875,55.15005208333333,66.9275,37.212,65.16475
1,1.0,0.0,0.0,50.211,50.60625,,66.9275,2.00825,13.19775,55.15005208333333,66.9275,37.212,66.01425
1,1.0,0.0,0.0,50.1525,50.09,,66.59275,2.20575,15.458,55.15005208333333,66.9275,37.212,64.97475
1,1.0,0.0,0.0,48.323,48.0925,,66.12325,2.5555,15.4535,55.15005208333333,66.9275,37.212,64.369
1,1.0,0.0,0.0,46.1385,46.4015,,63.9705,2.96175,14.03725,55.15005208333333,66.9275,37.212,63.47125
1,1.0,0.0,0.0,45.11675,45.4475,,62.63825,3.2775,11.39125,55.15005208333333,66.9275,37.212,62.80025
1,1.0,0.0,0.0,44.617,44.834,,60.3735,3.61725,7.399,55.15005208333333,66.9275,37.212,61.19075
1,1.0,0.0,0.0,45.9565,45.966,,59.7445,4.199,3.2375,55.15005208333333,66.9275,37.212,60.99975
1,1.0,0.0,0.0,48.18275,47.506,,60.15075,5.46375,0.42425,55.15005208333333,66.9275,37.212,61.858
1,1.0,0.0,0.0,50.4295,50.1715,,62.26975,7.044,0.00425,55.15005208333333,66.9275,37.212,65.16925
1,1.0,0.0,0.0,49.7615,48.5635,,60.1155,8.41475,0.0,55.15005208333333,66.9275,37.212,61.61325
1,1.0,0.0,0.0,47.4715,45.98025,,56.50975,8.9745,0.0,55.15005208333333,66.9275,37.212,57.65575
1,1.0,0.0,0.0,46.16575,44.2085,,51.44225,9.233,0.0,55.15005208333333,66.9275,37.212,53.3185
1,1.0,0.0,0.0,42.70325,41.1305,,46.466,9.29775,0.0,55.15005208333333,66.9275,37.212,48.6895
1,0.0,0.0,0.0,40.225,38.25725,,44.22975,9.54575,0.0,57.05422916666666,68.00475,41.39675,45.8105
