X0,DA-1d,DA-2d,DA-7d,DA_avg,DA_min,DA_max,DA_last,FL,FW,FS,DayAhead
1,26.14,54.92,,28.85291666666667,20.24,47.01,30.35,153.727,13.772,0.713,27.52
1,28.06,60.0,,28.85291666666667,20.24,47.01,30.35,168.151,13.735,7.373,30.02
1,26.4,46.96,,28.85291666666667,20.24,47.01,30.35,181.992,11.349,18.347,31.95
1,24.67,37.92,,28.85291666666667,20.24,47.01,30.35,192.62,7.493,28.7,30.53
1,24.63,32.01,,28.85291666666667,20.24,47.01,30.35,202.414,6.912,35.536,31.62
1,23.53,30.07,,28.85291666666667,20.24,47.01,30.35,197.602,8.316,41.52,29.24
1,20.24,28.65,,28.85291666666667,20.24,47.01,30.35,191.331,9.459,44.476,27.09
1,21.94,28.91,,28.85291666666667,20.24,47.01,30.35,184.971,9.347,40.112,26.06
1,23.52,29.6,,28.85291666666667,20.24,47.01,30.35,182.045,8.924,33.824,26.01
1,24.05,32.02,,28.85291666666667,20.24,47.01,30.35,181.898,9.439,23.537,25.44
1,31.88,44.68,,28.85291666666667,20.24,47.01,30.35,186.913,8.714,12.144,31.8
1,40.3,48.1,,28.85291666666667,20.24,47.01,30.35,194.95,7.398,2.127,40.48
1,47.01,55.0,,28.85291666666667,20.24,47.01,30.35,206.067,7.939,0.017,46.99
1,41.95,49.03,,28.85291666666667,20.24,47.01,30.35,200.044,8.336,0.0,44.9
1,37.79,39.8,,28.85291666666667,20.24,47.01,30.35,190.659,8.897,0.0,40.95
1,40.28,33.5,,28.85291666666667,20.24,47.01,30.35,185.394,8.962,0.0,40.41
1,30.35,30.13,,28.85291666666667,20.24,47.01,30.35,172.174,7.514,0.0,33.96
1,27.63,26.75,,31.183333333333337,24.0,46.99,33.96,160.9,6.868,0.0,27.66
1,27.01,26.26,,31.183333333333337,24.0,46.99,33.96,155.087,6.74,0.0,26.68
1,26.82,26.39,,31.183333333333337,24.0,46.99,33.96,153.56,6.61,0.0,26.82
1,24.0,26.04,,31.183333333333337,24.0,46.99,33.96,156.801,6.552,0.0,26.02
1,25.7,24.77,,31.183333333333337,24.0,46.99,33.96,162.734,7.915,0.0,25.84
1,26.13,25.49,,31.183333333333337,24.0,46.99,33.96,181.717,9.873,0.0,28.25
1,26.14,24.03,,31.183333333333337,24.0,46.99,33.96,223.008,11.316,0.003,42.17
1,27.52,26.14,,31.183333333333337,24.0,46.99,33.96,247.642,11.978,0.657,52.0
1,30.02,28.06,,31.183333333333337,24.0,46.99,33.96,254.174,12.634,8.565,55.07
1,31.95,26.4,,31.183333333333337,24.0,46.99,33.96,255.802,11.504,27.198,53.01
1,30.53,24.67,,31.183333333333337,24.0,46.99,33.96,260.659,9.522,43.223,51.56
1,31.62,24.63,,31.183333333333337,24.0,46.99,33.96,264.057,9.29,53.778,49.08
1,29.24,23.53,,31.183333333333337,24.0,46.99,33.96,259.899,9.688,60.596,42.17
1,27.09,20.24,,31.183333333333337,24.0,46.99,33.96,257.476,11.622,63.055,40.4
1,26.06,21.94,,31.183333333333337,24.0,46.99,33.96,253.885,13.371,57.932,38.84
1,26.01,23.52,,31.183333333333337,24.0,46.99,33.96,251.201,15.937,47.282,40.97
1,25.44,24.05,,31.183333333333337,24.0,46.99,33.96,244.763,18.219,30.37,41.38
1,31.8,31.88,,31.183333333333337,24.0,46.99,33.96,243.999,22.279,12.34,44.61
1,40.48,40.3,,31.183333333333337,24.0,46.99,33.96,247.432,29.092,1.196,45.1
1,46.99,47.01,,31.183333333333337,24.0,46.99,33.96,260.677,39.049,0.016,51.75
1,44.9,41.95,,31.183333333333337,24.0,46.99,33.96,246.453,44.91,0.0,45.45
1,40.95,37.79,,31.183333333333337,24.0,46.99,33.96,230.623,48.738,0.0,33.26
1,40.41,40.28,,31.183333333333337,24.0,46.99,33.96,213.274,51.626,0.0,28.06
1,33.96,30.35,,31.183333333333337,24.0,46.99,33.96,194.758,52.826,0.0,27.01
1,27.66,27.63,,39.29833333333334,25.84,55.07,27.01,183.242,53.539,0.0,25.05
1,26.68,27.01,,39.29833333333334,25.84,55.07,27.01,174.904,54.731,0.0,26.16
1,26.82,26.82,,39.29833333333334,25.84,55.07,27.01,172.632,55.553,0.0,23.87
1,26.02,24.0,,39.29833333333334,25.84,55.07,27.01,172.95,55.369,0.0,23.06
