25.027,22.36,20.331,18.848,18.774,19.172,20.024,19.928,18.256,15.029,12.775,15.543,19.345,20.796,19.897,18.658,17.982,15.783,13.321,14.749,16.713,16.948,15.735,14.155
13.532,13.007,12.948,12.978,12.914,12.949,12.708,12.541,11.705,8.62,5.808,4.97,6.053,7.295,8.037,9.026,9.748,9.771,11.023,16.902,21.422,23.961,25.402,25.005
22.618,20.504,18.318,16.664,15.265,13.399,12.574,12.382,12.301,10.167,6.515,5.422,5.7,6.482,6.523,6.686,7.121,7.106,7.798,9.716,10.409,9.512,8.519,8.215
7.985,7.723,8.32,9.146,9.647,10.393,12.259,13.772,13.735,11.349,7.493,6.912,8.316,9.459,9.347,8.924,9.439,8.714,7.398,7.939,8.336,8.897,8.962,7.514
6.868,6.74,6.61,6.552,7.915,9.873,11.316,11.978,12.634,11.504,9.522,9.29,9.688,11.622,13.371,15.937,18.219,22.279,29.092,39.049,44.91,48.738,51.626,52.826
53.539,54.731,55.553,55.369,55.546,56.123,56.252,55.118,51.99,51.342,50.609,49.547,47.869,45.438,43.219,40.12,38.625,40.208,41.821,44.988,46.426,45.875,45.762,46.663
47.097,44.915,43.246,40.947,39.21,38.328,38.818,38.524,38.168,37.357,35.89,34.63,33.698,31.292,29.841,29.122,28.112,28.388,29.533,30.328,31.11,29.89,28.664,26.169
23.037,20.236,17.671,15.187,14.169,13.365,13.139,12.802,11.464,9.659,8.27,7.47,6.833,6.629,6.139,6.064,5.779,5.456,5.399,5.603,6.157,6.166,5.919,5.42
4.489,4.195,4.101,4.271,4.362,4.545,4.551,4.915,5.294,4.816,4.163,4.123,4.571,4.715,4.733,4.821,5.805,7.363,9.905,13.121,15.846,16.872,17.432,17.371
17.395,17.965,18.107,18.001,18.736,18.658,19.722,19.729,20.476,18.811,18.185,22.199,26.238,27.72,27.955,30.232,34.104,35.779,39.956,48.6,54.823,57.498,57.15,55.586
53.047,51.899,51.533,51.23,49.68,49.098,49.65,51.014,49.449,41.92,41.141,54.307,59.868,58.33,58.169,60.207,59.797,54.534,50.256,57.208,62.808,63.691,61.344,58.616
54.557,50.804,47.619,44.349,41.46,40.455,40.801,40.028,35.265,25.989,22.528,28.183,32.973,31.486,29.086,30.446,32.028,31.729,34.166,39.699,43.069,44.456,42.231,39.582
35.023,31.177,29.447,28.736,28.469,28.038,27.561,27.133,24.972,21.008,19.379,18.079,17.553,17.108,17.555,18.336,18.031,17.748,18.538,18.839,18.409,18.789,18.539,18.97
18.919,18.024,18.025,17.665,19.669,21.188,22.199,23.694,24.182,23.278,22.396,22.056,21.887,23.243,24.635,25.748,24.552,23.882,25.343,25.399,23.687,23.976,22.434,19.898
16.126,15.515,16.681,17.59,20.238,22.995,24.187,28.151,29.812,30.954,32.599,34.172,35.405,36.918,37.919,37.353,36.887,37.387,36.683,35.344,32.269,28.225,25.242,23.033
20.931,19.013,17.583,16.549,15.4,15.548,14.167,14.027,14.467,14.59,13.795,13.342,13.273,13.743,13.64,14.402,14.957,15.467,15.923,15.885,15.396,13.86,13.007,12.093
10.989,9.948,9.047,7.772,6.773,6.56,5.969,5.697,4.663,4.088,3.423,3,2.982,2.627,2.399,2.385,2.288,2.502,2.765,3.377,3.622,3.855,3.8,3.655
3.691,3.799,4.173,4.585,5.363,5.825,6.562,6.697,6.776,6.206,5.794,5.527,5.675,5.403,4.688,4.312,4.08,4.073,4.454,4.99,5.251,5.577,5.638,5.212
5.286,5.288,5.035,4.353,4.326,4.384,4.76,4.971,4.844,4.258,3.588,3.191,3.02,2.777,2.843,3.047,3.149,3.183,3.432,3.487,2.913,2.685,2.539,2.207
2.003,2.086,2.262,2.255,2.246,2.683,3.071,3.316,3.507,3.541,3.354,3.005,3.357,4.225,4.99,5.208,5.798,6.07,6.809,7.643,7.613,6.895,6.62,6.58
6.633,6.812,7.368,7.956,8.272,8.944,10.851,13.08,14.589,15.473,15.33,16.432,18.773,21.566,22.976,23.706,23.641,23.943,26.03,29.745,33.247,34.877,34.826,34.784
36.55,36.849,36.526,37.047,38.112,41.21,42.528,43.417,43.482,41.429,39.762,39.336,40.192,41.488,42.189,43.815,44.965,47.342,48.529,49.774,52.044,51.148,49.437,47.447
45.05,44.242,45.09,43.967,42.327,42.067,41.07,39.141,37.156,33.341,29.85,31.624,36.957,37.494,32.491,27.063,20.597,15.431,14.656,15.506,16.471,16.092,15.331,14.668
14.761,15.592,16.398,17.661,17.534,17.517,18.906,20.174,21.016,21.023,19.196,17.797,18.524,19.584,19.014,18.687,19.027,20.202,26.393,31.528,34.652,36.404,37.047,34.678
32.838,31.7,29.763,27.17,26.591,25.248,25.709,25.676,24.279,21.896,21.559,22.447,23.613,22.566,18.803,13.486,9.41,8.358,7.535,7.337,7.467,7.842,7.984,7.725
8.056,8.889,9.886,11.498,13.832,16.624,18.945,21.543,21.625,18.091,15.31,15.527,15.777,15.949,15.899,16.435,19.634,29.732,38.716,42.42,43.035,42.359,41.262,38.934
36.434,34.408,33.157,32.896,32.365,30.987,29.88,28.043,22.495,15.084,11.473,11.41,12.455,14.834,16.773,17.999,22.27,30.143,36.763,39.555,38.716,37.511,35.357,33.68
32.594,31.741,32.096,32.953,34.233,34.874,35.224,35.609,32.68,28.916,25.429,22.909,21.194,21.745,23.343,23.905,24.667,27.117,27.852,27.13,25.581,23.69,20.971,18.594
17.105,15.251,13.26,12.132,11.045,9.996,8.408,7.04,6.091,4.196,3.305,3.118,2.591,1.942,1.789,1.505,1.333,1.328,1.807,2.426,2.877,3.202,3.279,3.13
