X0,DA_Forecast,ID*,-FL,-FW,-FS,-FL_1d,-FW_1d,-FS_1d,Intraday
1,40.3,48.1,-48.407,-1.66475,-0.616,-59.011,-2.96625,-1.08325,43.6980094903556
1,47.01,55.0,-51.01325,-2.147,-0.00725,-61.21,-3.755,-0.0135,51.5170083282929
1,41.95,49.03,-49.94675,-2.45175,-0.0,-58.7525,-4.32075,-0.0,43.2192950460906
1,37.79,39.8,-47.0695,-2.34125,-0.0,-54.461,-4.5505,-0.0,35.2126426614481
1,40.28,33.5,-44.95575,-2.18025,-0.0,-50.539,-4.56975,-0.0,39.0078587393831
1,30.35,30.13,-41.62025,-2.10925,-0.0,-46.4995,-4.489,-0.0,30.7123723228995
1,27.63,23.3800330959062,-37.66,-2.541,-0.0,-42.49675,-4.189,-0.0,33.4877606287283
1,27.01,23.5327615477117,-35.99525,-2.628,-0.0,-40.0555,-3.87475,-0.0,31.3450245762712
1,26.82,26.4243146214099,-34.8765,-2.488,-0.0,-38.7735,-3.53225,-0.0,27.9866728469454
1,24.0,26.5876875132052,-34.45975,-2.30125,-0.0,-38.34225,-3.283,-0.0,24.0609612388894
1,25.7,29.4810840160031,-34.805,-2.27975,-0.0,-38.42325,-3.119,-0.0,24.3087649653434
1,26.13,30.0621894776613,-35.51925,-2.424,-0.0,-38.5525,-3.11525,-0.0,24.7249832502655
1,26.14,31.6676013785181,-36.78025,-2.635,-0.00125,-39.20225,-3.188,-0.00175,26.1954440357331
1,27.52,29.3183203683124,-38.19975,-2.79725,-0.2405,-41.2475,-3.15825,-0.38675,26.5410472303207
1,30.02,32.0295295426291,-41.56075,-2.712,-1.957,-44.09725,-2.87975,-3.453,26.6493102144949
1,31.95,30.0242295209659,-45.06975,-2.216,-4.96525,-47.28025,-2.26325,-8.38525,27.9514695985601
1,30.53,26.869292076887,-47.50075,-1.87225,-8.24675,-49.535,-1.7185,-13.22375,31.0421542515646
1,31.62,24.63,-50.211,-1.76725,-10.62575,-51.46075,-1.48925,-16.7645,33.8948770984305
1,29.24,23.53,-50.1525,-1.796,-12.04575,-50.894,-1.49225,-18.60475,35.2480359914149
1,27.09,20.24,-48.323,-1.918,-12.28325,-48.937,-1.59,-18.70625,31.226919217104
1,26.06,21.94,-46.1385,-1.9785,-11.3625,-46.91475,-1.63375,-16.842,29.1700672094232
1,26.01,23.52,-45.11675,-1.92775,-9.31525,-45.90575,-1.578,-13.2735,29.912168898411
1,25.44,24.05,-44.617,-1.76375,-6.38725,-45.404,-1.46975,-8.674,30.236879092277
1,31.8,31.88,-45.9565,-1.53925,-3.076,-46.21675,-1.43875,-3.9845,33.2444976555503
1,40.48,40.3,-48.18275,-1.42625,-0.4815,-48.407,-1.66475,-0.616,35.964680305813
1,46.99,47.01,-50.4295,-1.32725,-0.0045,-51.01325,-2.147,-0.00725,42.0081132249298
1,44.9,41.95,-49.7615,-1.2395,-0.0,-49.94675,-2.45175,-0.0,39.9550251277326
1,40.95,37.79,-47.4715,-1.2555,-0.0,-47.0695,-2.34125,-0.0,37.9696392124523
1,40.41,40.28,-46.16575,-1.22825,-0.0,-44.95575,-2.18025,-0.0,37.4258722250714
1,33.96,30.35,-42.70325,-1.19025,-0.0,-41.62025,-2.10925,-0.0,31.9991074723247
1,27.66,33.4877606287283,-39.421,-1.329,-0.0,-37.66,-2.541,-0.0,26.825019729762
1,26.68,31.3450245762712,-37.8905,-1.282,-0.0,-35.99525,-2.628,-0.0,28.3481720525568
1,26.82,27.9866728469454,-37.212,-1.29925,-0.0,-34.8765,-2.488,-0.0,27.6086315122054
1,26.02,24.0609612388894,-37.6635,-1.41875,-0.0,-34.45975,-2.30125,-0.0,24.669143663739
1,25.84,24.3087649653434,-39.33275,-1.579,-0.0,-34.805,-2.27975,-0.0,26.0223731059038
1,28.25,24.7249832502655,-43.82775,-1.8125,-0.0,-35.51925,-2.424,-0.0,24.2326410720753
1,42.17,26.1954440357331,-53.4485,-2.099,-0.002,-36.78025,-2.635,-0.00125,34.2622765984492
1,52.0,26.5410472303207,-59.67625,-2.45325,-0.217,-38.19975,-2.79725,-0.2405,45.2342722796433
1,55.07,26.6493102144949,-62.6415,-2.60175,-1.9175,-41.56075,-2.712,-1.957,49.1590607586798
1,53.01,27.9514695985601,-63.8585,-2.382,-4.9435,-45.06975,-2.216,-4.96525,48.1567594661167
1,51.56,31.0421542515646,-65.30475,-2.05025,-8.96875,-47.50075,-1.87225,-8.24675,36.9615819971122
1,49.08,31.62,-66.9275,-2.00825,-13.19775,-50.211,-1.76725,-10.62575,35.0166143674948
